Channel,Row,Column,Hits,MeanADC,RMS,SNR,Occupancy,Gain
0,0,0,1456,35.1832,15.5766,2.25872,17.4664,0.788889
1,0,1,1109,39.2928,14.1214,2.7825,13.3037,0.881036
2,0,2,1095,34.2702,14.5823,2.35012,13.1358,0.768417
3,0,3,1077,52.4579,17.9918,2.91567,12.9199,1.17623
8,1,0,821,41.7944,18.7683,2.22687,9.84885,0.937128
9,1,1,772,39.5268,13.4158,2.94629,9.26104,0.886282
10,1,2,926,33.2473,16.1747,2.05552,11.1084,0.745481
11,1,3,682,42.7819,16.4338,2.60328,8.18138,0.959268
16,2,0,1222,34.5483,13.5367,2.55219,14.6593,0.774652
17,2,1,603,45.3621,14.0633,3.22556,7.23369,1.01712
18,2,2,2309,41.028,11.2838,3.63599,27.6991,0.919942
19,2,3,793,42.1192,15.5384,2.71065,9.51296,0.944409
24,3,0,527,44.4842,15.4901,2.87178,6.32198,0.997438
25,3,1,905,41.5704,14.4085,2.88514,10.8565,0.932104
26,3,2,787,47.4549,14.7605,3.21499,9.44098,1.06405
27,3,3,858,38.3184,15.4938,2.47315,10.2927,0.859187
32,4,0,252,43.8008,15.2536,2.8715,3.02303,0.982114
33,4,1,1174,49.8188,12.6496,3.93836,14.0835,1.11705
34,4,2,6264,98.7117,29.0354,3.39971,75.144,2.21335
35,4,3,482,52.7283,11.9887,4.39818,5.78215,1.18229
40,5,0,2929,41.5031,41.1928,1.00753,35.1368,0.930596
41,5,1,346,79.9883,27.0059,2.96188,4.15067,1.79352
42,5,2,1949,35.7036,12.0453,2.96411,23.3805,0.800557
43,5,3,839,43.4418,15.0938,2.87813,10.0648,0.974064
48,6,0,3938,39.285,28.0745,1.39931,47.2409,0.88086
49,6,1,560,43.356,12.1704,3.56241,6.71785,0.972142
50,6,2,708,53.7894,73.4317,0.732509,8.49328,1.20608
51,6,3,409,45.4441,14.3221,3.17301,4.90643,1.01896
56,7,0,1020,25.2504,11.9063,2.12077,12.2361,0.566172
57,7,1,737,37.0841,12.8579,2.88415,8.84117,0.831512
58,7,2,624,37.2207,10.5294,3.53493,7.4856,0.834574
59,7,3,3779,46.5841,13.9684,3.33497,45.3335,1.04452
